PING 8.8.4.4 (8.8.4.4) 56(84) bytes of data.
64 bytes from 8.8.4.4: icmp_seq=115 ttl=128 time=261 ms
64 bytes from 8.8.4.4: icmp_seq=116 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=117 ttl=128 time=1131 ms
64 bytes from 8.8.4.4: icmp_seq=118 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=119 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=120 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=121 ttl=128 time=265 ms
64 bytes from 8.8.4.4: icmp_seq=122 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=123 ttl=128 time=1109 ms
64 bytes from 8.8.4.4: icmp_seq=124 ttl=128 time=104 ms
64 bytes from 8.8.4.4: icmp_seq=125 ttl=128 time=103 ms
64 bytes from 8.8.4.4: icmp_seq=126 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=127 ttl=128 time=103 ms
64 bytes from 8.8.4.4: icmp_seq=128 ttl=128 time=107 ms
64 bytes from 8.8.4.4: icmp_seq=129 ttl=128 time=109 ms
64 bytes from 8.8.4.4: icmp_seq=130 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=131 ttl=128 time=103 ms
64 bytes from 8.8.4.4: icmp_seq=132 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=133 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=134 ttl=128 time=103 ms
64 bytes from 8.8.4.4: icmp_seq=135 ttl=128 time=103 ms
64 bytes from 8.8.4.4: icmp_seq=136 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=137 ttl=128 time=270 ms
64 bytes from 8.8.4.4: icmp_seq=138 ttl=128 time=104 ms
64 bytes from 8.8.4.4: icmp_seq=139 ttl=128 time=294 ms
64 bytes from 8.8.4.4: icmp_seq=140 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=141 ttl=128 time=108 ms
64 bytes from 8.8.4.4: icmp_seq=142 ttl=128 time=104 ms
64 bytes from 8.8.4.4: icmp_seq=143 ttl=128 time=289 ms
64 bytes from 8.8.4.4: icmp_seq=144 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=145 ttl=128 time=103 ms
64 bytes from 8.8.4.4: icmp_seq=146 ttl=128 time=253 ms
64 bytes from 8.8.4.4: icmp_seq=147 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=148 ttl=128 time=103 ms
64 bytes from 8.8.4.4: icmp_seq=149 ttl=128 time=266 ms
64 bytes from 8.8.4.4: icmp_seq=150 ttl=128 time=104 ms
64 bytes from 8.8.4.4: icmp_seq=151 ttl=128 time=104 ms
64 bytes from 8.8.4.4: icmp_seq=152 ttl=128 time=104 ms
64 bytes from 8.8.4.4: icmp_seq=153 ttl=128 time=103 ms
64 bytes from 8.8.4.4: icmp_seq=154 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=155 ttl=128 time=101 ms
